Date,High,Low,Open,Close,Volume,Adj Close
2020-01-06,23365.359375,23148.529296875,23319.759765625,23204.859375,72800000,23204.859375
2020-01-07,23577.439453125,23299.919921875,23320.119140625,23575.720703125,64300000,23575.720703125
2020-01-08,23303.2109375,22951.1796875,23217.490234375,23204.759765625,79400000,23204.759765625
2020-01-09,23767.08984375,23506.150390625,23530.2890625,23739.869140625,62200000,23739.869140625
2020-01-10,23903.2890625,23761.080078125,23813.279296875,23850.5703125,55900000,23850.5703125
2020-01-14,24059.859375,23951.66015625,23969.0390625,24025.169921875,64200000,24025.169921875
2020-01-15,23997.390625,23875.8203125,23923.48046875,23916.580078125,57200000,23916.580078125
2020-01-16,23975.380859375,23905.380859375,23960.19921875,23933.130859375,55400000,23933.130859375
2020-01-17,24115.94921875,24013.75,24103.44921875,24041.259765625,59400000,24041.259765625
2020-01-20,24108.109375,24061.669921875,24080.6796875,24083.509765625,38300000,24083.509765625
2020-01-21,24081.75,23843.48046875,24072.810546875,23864.560546875,44600000,23864.560546875
2020-01-22,24040.869140625,23831.099609375,23835.490234375,24031.349609375,49000000,24031.349609375
2020-01-23,23910.009765625,23779.23046875,23843.509765625,23795.439453125,55500000,23795.439453125
2020-01-24,23869.380859375,23755.3203125,23850.119140625,23827.1796875,48700000,23827.1796875
2020-01-27,23463.890625,23317.3203125,23427.900390625,23343.509765625,62400000,23343.509765625
2020-01-28,23243.359375,23115.150390625,23126.9296875,23215.7109375,64400000,23215.7109375
2020-01-29,23392.609375,23214.279296875,23309.3203125,23379.400390625,54900000,23379.400390625
2020-01-30,23318.5703125,22892.94921875,23284.580078125,22977.75,69600000,22977.75
2020-01-31,23421.58984375,23139.98046875,23148.919921875,23205.1796875,75400000,23205.1796875
2020-02-03,23023.73046875,22775.919921875,22874.26953125,22971.939453125,72500000,22971.939453125
2020-02-04,23118.130859375,22854.44921875,22881.130859375,23084.58984375,67900000,23084.58984375
2020-02-05,23414.689453125,23241.640625,23351.470703125,23319.560546875,70300000,23319.560546875
2020-02-06,23995.369140625,23625.130859375,23641.099609375,23873.58984375,95100000,23873.58984375
2020-02-07,23943.44921875,23759.419921875,23899.009765625,23827.98046875,65400000,23827.98046875
2020-02-10,23788.25,23621.720703125,23631.7890625,23685.98046875,56500000,23685.98046875
2020-02-12,23869.73046875,23693.720703125,23741.2109375,23861.2109375,74600000,23861.2109375
2020-02-13,23908.849609375,23784.310546875,23849.759765625,23827.73046875,64500000,23827.73046875
2020-02-14,23738.419921875,23603.48046875,23714.51953125,23687.58984375,69100000,23687.58984375
2020-02-17,23561.98046875,23335.990234375,23489.779296875,23523.240234375,54000000,23523.240234375
2020-02-18,23402.009765625,23133.599609375,23398.5703125,23193.80078125,59500000,23193.80078125
2020-02-19,23468.560546875,23234.9609375,23329.330078125,23400.69921875,61600000,23400.69921875
2020-02-20,23806.560546875,23426.419921875,23666.580078125,23479.150390625,63300000,23479.150390625
2020-02-21,23588.55078125,23378.330078125,23427.76953125,23386.740234375,62100000,23386.740234375
2020-02-25,22950.23046875,22335.2109375,22949.369140625,22605.41015625,105800000,22605.41015625
2020-02-26,22456.55078125,22127.419921875,22374.140625,22426.189453125,99300000,22426.189453125
2020-02-27,22272.259765625,21844.2890625,22255.830078125,21948.23046875,106200000,21948.23046875
2020-02-28,21528.130859375,20916.400390625,21518.009765625,21142.9609375,148500000,21142.9609375
2020-03-02,21593.109375,20834.2890625,20849.7890625,21344.080078125,123700000,21344.080078125
2020-03-03,21719.779296875,21082.73046875,21651.990234375,21082.73046875,105300000,21082.73046875
2020-03-04,21245.9296875,20862.05078125,20897.19921875,21100.060546875,94600000,21100.060546875
2020-03-05,21399.869140625,21220.759765625,21399.869140625,21329.119140625,85700000,21329.119140625
2020-03-06,21061.19921875,20613.91015625,21009.80078125,20749.75,111700000,20749.75
2020-03-09,20347.189453125,19472.259765625,20343.310546875,19698.759765625,170300000,19698.759765625
2020-03-10,19970.349609375,18891.76953125,19474.890625,19867.119140625,164700000,19867.119140625
2020-03-11,19974.830078125,19392.25,19758.259765625,19416.060546875,129200000,19416.060546875
2020-03-12,19142.1796875,18339.26953125,19064.509765625,18559.630859375,164600000,18559.630859375
2020-03-13,18184.4609375,16690.599609375,18183.470703125,17431.05078125,233400000,17431.05078125
2020-03-16,17785.759765625,16914.44921875,17586.080078125,17002.0390625,158100000,17002.0390625
2020-03-17,17557.0390625,16378.9404296875,16726.94921875,17011.529296875,198800000,17011.529296875
2020-03-18,17396.83984375,16698.4609375,17154.080078125,16726.55078125,177200000,16726.55078125
2020-03-19,17160.970703125,16358.1904296875,16995.76953125,16552.830078125,198900000,16552.830078125
2020-03-23,17049.029296875,16480.94921875,16570.5703125,16887.779296875,170300000,16887.779296875
2020-03-24,18100.390625,17197.140625,17206.880859375,18092.349609375,147300000,18092.349609375
2020-03-25,19564.380859375,18446.80078125,18446.80078125,19546.630859375,147700000,19546.630859375
2020-03-26,19240.2890625,18512.810546875,19234.76953125,18664.599609375,128100000,18664.599609375
2020-03-27,19389.4296875,18832.2109375,19021.970703125,19389.4296875,148900000,19389.4296875
2020-03-30,19084.970703125,18578.19921875,18884.0703125,19084.970703125,121000000,19084.970703125
2020-03-31,19336.189453125,18834.16015625,19181.900390625,18917.009765625,122200000,18917.009765625
2020-04-01,18784.25,17871.619140625,18686.119140625,18065.41015625,105800000,18065.41015625
2020-04-02,18132.0390625,17707.66015625,17934.419921875,17818.720703125,107300000,17818.720703125
2020-04-03,18059.150390625,17646.5,17951.439453125,17820.189453125,96000000,17820.189453125
2020-04-06,18672.259765625,17802.619140625,17857.990234375,18576.30078125,105700000,18576.30078125
2020-04-07,19162.51953125,18553.140625,18878.859375,18950.1796875,108200000,18950.1796875
2020-04-08,19454.33984375,18730.80078125,19047.759765625,19353.240234375,105900000,19353.240234375
2020-04-09,19406.9609375,19158.55078125,19376.0,19345.76953125,82300000,19345.76953125
2020-04-10,19500.0703125,19235.9609375,19500.0703125,19498.5,87500000,19498.5
2020-04-13,19355.0390625,19014.3203125,19312.0390625,19043.400390625,65600000,19043.400390625
2020-04-14,19705.990234375,19093.119140625,19150.30078125,19638.810546875,81900000,19638.810546875
2020-04-15,19660.6796875,19465.94921875,19589.25,19550.08984375,94100000,19550.08984375
2020-04-16,19362.169921875,19154.41015625,19311.30078125,19290.19921875,81400000,19290.19921875
2020-04-17,19922.0703125,19554.69921875,19575.849609375,19897.259765625,87800000,19897.259765625
2020-04-20,19784.380859375,19611.7890625,19689.849609375,19669.119140625,65000000,19669.119140625
2020-04-21,19529.060546875,19193.220703125,19479.830078125,19280.779296875,79400000,19280.779296875
2020-04-22,19137.94921875,18858.25,19109.1796875,19137.94921875,76400000,19137.94921875
2020-04-23,19429.439453125,19221.5390625,19313.0390625,19429.439453125,72600000,19429.439453125
2020-04-24,19352.240234375,19175.380859375,19331.859375,19262.0,84700000,19262.0
2020-04-27,19819.060546875,19410.1796875,19410.83984375,19783.220703125,77600000,19783.220703125
2020-04-28,19841.779296875,19638.48046875,19776.1796875,19771.189453125,68600000,19771.189453125
2020-04-30,20365.890625,20084.830078125,20105.6796875,20193.689453125,103400000,20193.689453125
2020-05-01,20000.25,19551.73046875,19991.970703125,19619.349609375,86600000,19619.349609375
2020-05-07,19720.869140625,19448.9296875,19468.51953125,19674.76953125,82900000,19674.76953125
2020-05-08,20179.08984375,19894.580078125,19972.08984375,20179.08984375,82200000,20179.08984375
2020-05-11,20534.880859375,20285.0390625,20333.73046875,20390.66015625,76200000,20390.66015625
2020-05-12,20457.369140625,20293.970703125,20413.23046875,20366.48046875,67700000,20366.48046875
2020-05-13,20329.890625,20056.4609375,20140.919921875,20267.05078125,79500000,20267.05078125
2020-05-14,20185.0,19902.9296875,20140.490234375,19914.779296875,76900000,19914.779296875
2020-05-15,20198.25,19832.880859375,20149.7890625,20037.470703125,75200000,20037.470703125
2020-05-18,20197.58984375,19999.099609375,20097.619140625,20133.73046875,71900000,20133.73046875
2020-05-19,20659.4609375,20433.44921875,20469.51953125,20433.44921875,93000000,20433.44921875
2020-05-20,20684.4609375,20454.029296875,20454.490234375,20595.150390625,71800000,20595.150390625
2020-05-21,20734.91015625,20503.869140625,20692.58984375,20552.310546875,62900000,20552.310546875
2020-05-22,20615.119140625,20334.990234375,20583.94921875,20388.16015625,71100000,20388.16015625
2020-05-25,20741.650390625,20584.060546875,20653.41015625,20741.650390625,55100000,20741.650390625
2020-05-26,21328.33984375,20918.109375,20927.9609375,21271.169921875,87200000,21271.169921875
2020-05-27,21475.6796875,21142.720703125,21249.310546875,21419.23046875,112000000,21419.23046875
2020-05-28,21926.2890625,21580.5,21612.900390625,21916.310546875,134000000,21916.310546875
2020-05-29,21955.439453125,21710.80078125,21807.630859375,21877.890625,153200000,21877.890625
